"Symbol","Name","SPAC IPO date","SPAC merger completion date","Market cap","Industry","Momentum factor 10","Momentum factor 200","Last Close Price","Shares outstanding","Average trading volume","% traded","Action"
"EVEX","Eve Holding, Inc.","05/10/2022","05/09/2022","$1,673,764,811","Tobacco","1.05","0.79","6.22","269,094,021","35,302","0.01%","Analyze"
"SAI","SAI.TECH Global Corporation  - Class A","06/28/2021","05/02/2022","$15,520,384","Capital Markets","1.03","0.34","1.27","12,933,653","5,159","0.04%","Analyze"
"SMR","NuScale Power Corporation Class A","05/03/2022","05/02/2022","$592,057,845","Utilities—Renewable","0.93","0.74","8.47","69,900,572","650,829","0.93%","Analyze"
"SOUN","SoundHound AI, Inc. - Class A","04/28/2022","04/27/2022","$314,527,584","Software—Application","0.82","0.72","1.98","160,473,257","11,362,993","7.08%","Analyze"
"MLTX","MoonLake Immunotherapeutics - Class A","10/20/2020","04/05/2022","$866,482,512","Biotechnology","1.01","2.39","22.01","39,154,203","303,208","0.77%","Analyze"
"LLAP","Terran Orbital Corporation","04/26/2021","03/25/2022","$223,538,519","Aerospace & Defense","0.82","0.51","1.57","142,381,222","5,198,603","3.65%","Analyze"
"FRGE","Forge Global Holdings, Inc.","03/22/2022","03/21/2022","$281,407,024","Software—Application","0.97","0.41","1.63","172,642,346","218,779","0.13%","Analyze"
"DRTS","Alpha Tau Medical Ltd. - Class A","03/08/2022","03/08/2022","$194,267,484","Biotechnology","0.81","0.46","3.00","69,134,336","35,103","0.05%","Analyze"
"RGTI","Rigetti Computing, Inc.","03/01/2022","03/01/2022","$73,276,700","Computer Hardware","0.89","0.23","0.58","123,030,054","1,072,612","0.87%","Analyze"
"QTEK","QualTek Services Inc.","02/15/2022","02/25/2022","$9,248,162","Telecom Services","0.80","0.26","0.30","27,805,659","1,115,174","4.01%","Analyze"
"CPTN","Cepton, Inc.","02/11/2022","02/14/2022","$78,600,051","Software—Application","0.57","0.32","0.54","156,761,170","996,796","0.64%","Analyze"
"ISPO","Inspirato Incorporated - Class A","02/09/2021","02/14/2022","$62,675,967","Leisure","0.91","0.34","0.95","65,287,466","252,993","0.39%","Analyze"
"NRGV","Energy Vault Holdings, Inc.","02/14/2022","02/14/2022","$279,302,051","Utilities—Renewable","0.86","0.39","2.02","138,268,342","1,819,026","1.32%","Analyze"
"QNGY","Quanergy Systems, Inc.","02/09/2022","02/08/2022","$104,745,464","Scientific & Technical Instruments","0.36","0.19","0.11","16,164,406","4,758,851","29.44%","Analyze"
"CORZ","Core Scientific, Inc. - Class A","04/08/2021","02/07/2022","$1,210,506,624","Software—Infrastructure","0.63","0.06","0.08","374,527,988","42,085,543","11.24%","Analyze"
"SKYH","Sky Harbour Group Corporation Class A","12/08/2020","02/07/2022","$129,673,879","Aerospace & Defense","1.03","1.83","8.60","14,962,831","139,548","0.93%","Analyze"
"SST","System1, Inc. Class A","08/07/2020","02/07/2022","$373,139,852","Specialty Business Services","1.10","0.62","4.08","91,455,846","34,020","0.04%","Analyze"
"ANGH","Anghami Inc.","08/21/2020","02/04/2022","$43,169,386","Entertainment","0.95","0.56","1.77","26,005,654","16,290","0.06%","Analyze"
"FSRD","Fast Radius, Inc. - Class A","04/06/2021","02/04/2022","$36,234,520","Software—Infrastructure","0.69","0.30","0.14","75,901,646","106,977,067","140.94%","Analyze"
"LFLY","Leafly Holdings, Inc.","12/13/2019","02/04/2022","$15,713,960","Pharmaceutical Retailers","0.92","0.20","0.45","40,035,568","230,781","0.58%","Analyze"
"SES","SES AI Corporation Class A","03/01/2021","02/03/2022","$881,080,505","Auto Parts","1.02","0.64","2.88","305,930,731","501,702","0.16%","Analyze"
"GRNA","GreenLight Biosciences Holdings, PBC","02/02/2022","02/02/2022","$76,791,431","Biotechnology","0.72","0.19","0.42","151,552,065","693,631","0.46%","Analyze"
"SATL","Satellogic Inc. - Class A","03/26/2021","01/26/2022","$174,860,375","Scientific & Technical Instruments","0.94","0.58","2.44","77,031,002","64,361","0.08%","Analyze"
"SOND","Sonder Holdings Inc. - Class A","03/15/2021","01/18/2022","$167,597,888","Lodging","0.87","0.53","0.82","219,282,857","1,070,946","0.49%","Analyze"
"GLS","Gelesis Holdings, Inc.","08/24/2020","01/13/2022","$12,050,528","Biotechnology","0.89","0.17","0.17","73,033,504","272,287","0.37%","Analyze"
"REVB","Revelation Biosciences, Inc.","12/10/2013","01/11/2022","$32,244,416","Biotechnology","0.74","1.94","1.37","23,536,070","360,731","1.53%","Analyze"
"DAVE","Dave Inc.  - Class A","04/26/2021","01/05/2022","$68,847,044","Software—Application","0.77","4.37","6.60","10,337,394","27,413","0.27%","Analyze"
"VORB","Virgin Orbit Holdings, Inc.","12/27/2021","12/31/2021","$179,696,016","Aerospace & Defense","0.44","0.15","0.44","337,014,284","1,159,909","0.34%","Analyze"
"HLGN","Heliogen, Inc.","05/07/2021","12/30/2021","$40,202,884","Utilities—Renewable","0.96","0.13","0.21","191,442,304","3,222,928","1.68%","Analyze"
"CMPO","CompoSecure, Inc.  - Class A","12/28/2021","12/28/2021","$133,559,657","Metal Fabrication","1.02","1.27","7.05","17,784,242","248,789","1.40%","Analyze"
"ADSE","ADS-TEC Energy PLC","03/10/2021","12/23/2021","$122,019,745","Electrical Equipment & Parts","0.87","0.43","2.45","48,807,898","68,452","0.14%","Analyze"
"ADTH","AdTheorent Holding Company, Inc.","12/23/2021","12/23/2021","$143,702,684","Advertising Agencies","1.00","0.62","1.59","87,623,588","188,995","0.22%","Analyze"
"FATH","Fathom Digital Manufacturing Corporation Class A","03/29/2021","12/23/2021","$40,313,904","Computer Hardware","0.83","0.23","0.62","65,529,753","216,345","0.33%","Analyze"
"PRDS","Pardes Biosciences, Inc.","02/17/2021","12/23/2021","$79,614,601","Biotechnology","0.93","0.57","1.30","61,716,745","177,794","0.29%","Analyze"
"HYPR","Hyperfine, Inc.  - Class A","01/28/2021","12/22/2021","$70,548,753","Medical Devices","1.01","1.16","1.55","55,991,074","532,784","0.95%","Analyze"
"CVT","Cvent Holding Corp.","12/07/2018","12/17/2021","$4,078,454,080","Software—Application","1.08","1.48","8.34","489,023,271","5,440,443","1.11%","Analyze"
"EQRX","EQRx, Inc.","12/15/2021","12/17/2021","$879,484,819","Biotechnology","0.80","0.44","1.96","488,602,677","4,108,069","0.84%","Analyze"
"BOWL","Bowlero Corp. Class A","04/23/2021","12/15/2021","$1,620,648,500","Entertainment","0.96","1.13","14.77","109,725,694","2,027,321","1.85%","Analyze"
"AMPS","Altus Power, Inc. Class A","02/01/2021","12/09/2021","$886,686,558","Utilities—Renewable","0.95","0.68","5.58","158,904,401","1,470,579","0.93%","Analyze"
"BOXD","Boxed, Inc.","12/08/2021","12/08/2021","$25,407,520","Internet Retail","1.34","0.36","0.34","73,794,714","20,922,295","28.35%","Analyze"
"SLDP","Solid Power, Inc. - Class A","05/18/2021","12/08/2021","$491,455,964","Electrical Equipment & Parts","0.99","0.61","2.97","176,782,721","2,185,264","1.24%","Analyze"
"BBAI","BigBear.ai, Inc.","12/08/2021","12/07/2021","$272,425,929","Information Technology Services","1.03","0.89","1.93","141,153,331","6,438,520","4.56%","Analyze"
"PL","Planet Labs PBC Class A","04/26/2021","12/07/2021","$866,355,000","Aerospace & Defense","0.90","0.68","3.50","247,530,000","2,074,677","0.84%","Analyze"
"VCSA","Vacasa, Inc. - Class A","12/07/2021","12/06/2021","$225,082,579","Software—Application","0.84","0.41","1.01","236,754,580","2,145,736","0.91%","Analyze"
