"Symbol","Name","IPO date","Market cap","IPO book value","Last Close Price","Price over book %","Shares outstanding","Average trading volume","% traded","Action"
"HPX","HPX Corp. Class A","09/08/2020","$38,241,878","10.00","17.16","71.60","2,176,544","504,574","23.18%","Analyze"
"PONO","Pono Capital Corp Class A","10/08/2021","$135,381,009","10.00","15.75","57.50","12,251,675","120,427","0.98%","Analyze"
"CNTQ","Chardan NexTech Acquisition 2 Corp. Class A","08/24/2021","$87,581,872","10.00","14.00","40.00","6,255,848","94,431","1.51%","Analyze"
"RICO","Agrico Acquisition Corp. - Class A","12/28/2007","$0","10.00","13.36","33.60","14,518,750","25,738","0.18%","Analyze"
"IGNY","Ignyte Acquisition Corp.","03/12/2021","$95,101,875","10.00","13.05","30.50","7,287,500","177,660","2.44%","Analyze"
"SMIH","Summit Healthcare Acquisition Corp. Class A","07/30/2021","$604,878,287","10.00","13.00","30.00","20,000,000","108,644","0.54%","Analyze"
"LMAO","LMF Acquisition Opportunities Inc. - Class A","03/18/2021","$129,100,725","10.00","12.35","23.50","10,453,500","560,236","5.36%","Analyze"
"RACY","Relativity Acquisition Corp. - Class A","04/04/2022","$184,553,050","10.00","12.28","22.80","15,028,750","46,424","0.31%","Analyze"
"LJAQ","LightJump Acquisition Corporation","03/02/2021","$76,680,241","10.00","12.10","21.00","6,337,210","311,143","4.91%","Analyze"
"ARCK","Arbor Rapha Capital Bioholdings Corp. I Class A","01/28/2011","$0","10.00","12.05","20.50","61,332","24,465","39.89%","Analyze"
"BHSE","Bull Horn Holdings Corp.","12/17/2020","$61,141,147","10.00","11.95","19.50","5,116,414","1,176,367","22.99%","Analyze"
"LSPR","Larkspur Health Acquisition Corp. Class A","02/09/2022","$181,967,198","10.00","11.79","17.90","8,087,431","335","0.00%","Analyze"
"EBAC","European Biotech Acquisition Corp. - Class A","05/11/2021","$142,006,210","10.00","11.19","11.90","13,209,880","48,657","0.37%","Analyze"
"DHAC","Digital Health Acquisition Corp.","12/30/2021","$46,212,578","10.00","11.10","11.00","4,126,123","19,848","0.48%","Analyze"
"CLOE","Clover Leaf Capital Corp. - Class A","09/09/2021","$162,707,450","10.00","11.03","10.30","14,645,135","1,872","0.01%","Analyze"
"GRCY","Greencity Acquisition Corporation","08/28/2020","$20,578,272","10.00","10.91","9.10","1,870,752","2,803","0.15%","Analyze"
"VENA","Venus Acquisition Corporation","04/13/2021","$63,343,500","10.00","10.91","9.10","6,050,000","50,666","0.84%","Analyze"
"BRLI","Brilliant Acquisition Corporation","07/22/2020","$19,802,390","10.00","10.90","9.00","1,816,733","4,279","0.24%","Analyze"
"TINV","Tiga Acquisition Corp. Class A","01/14/2021","$300,840,000","10.00","10.90","9.00","27,600,000","531,706","1.93%","Analyze"
"EDTX","EdtechX Holdings Acquisition Corp. II - Class A","12/24/2019","$34,300,320","10.00","10.88","8.80","3,149,708","101","0.00%","Analyze"
"ACBA","Ace Global Business Acquisition Limited","05/21/2021","$65,564,820","10.00","10.81","8.10","6,054,000","1,330","0.02%","Analyze"
"MBTC","Nocturne Acquisition Corporation","05/03/2021","$57,500,064","10.00","10.81","8.10","5,324,080","5,809","0.11%","Analyze"
"ADOC","Edoc Acquisition Corp. - Class A","12/10/2020","$27,870,750","10.00","10.80","8.00","2,580,625","1,333","0.05%","Analyze"
"MEOA","Minority Equality Opportunities Acquisition Inc. Class A","10/17/2021","$137,687,344","10.00","10.79","7.90","12,808,125","2,505","0.02%","Analyze"
"JATT","JATT Acquisition Corp Class A","09/02/2021","$185,437,500","10.00","10.75","7.50","17,250,000","62,363","0.36%","Analyze"
